id,placename,x,y,code
2743862,Zoeke,52.3375,6.81528,PPL
2743863,Zittend,52.67045,5.14091,PPL
2743864,Zittard,51.40667,5.36806,PPL
2743865,Zittard,51.1375,6,PPL
2743866,Zinkweg,51.8025,4.39028,PPL
2743874,Zilven,52.10882,6.03377,PPL
2743877,Zijtaart,51.5925,5.54167,PPL
2743878,Zijpersluis,52.73333,4.69167,PPL
2743883,Zijpe,51.65121,4.09743,PPL
2743893,Zijldijk,53.39417,6.75694,PPL
2743904,Zijdewind,52.7425,4.83889,PPL
2743905,Zijderveld,51.94167,5.14028,PPL
2743910,Zieuwent,52.00333,6.51944,PPL
2743913,Zierikzee,51.65,3.91944,PPL
2743914,Ziek,51.90417,6.31667,PPL
2743916,Ziedewijdijk,51.85,4.55,PPLX
2743919,Zevenmorgen,51.96333,5.49722,PPL
2743920,Zevenhutten,51.71583,5.87639,PPL
2743922,Zevenhuizen,53.1841,5.55973,PPLX
2743923,Zevenhuizen,52.21816,5.97841,PPLX
2743924,Zevenhuizen,53.25333,6.66806,PPL
2743925,Sânhuzen,53.23276,6.00317,PPLL
2743926,Zevenhuizen,53.12667,6.34722,PPL
2743927,Zevenhuizen,53.0875,4.88333,PPL
2743928,Zevenhuizen,52.21083,5.38889,PPL
2743929,Zevenhuizen,52.1975,4.55694,PPL
2743930,Zevenhuizen,52.01167,4.58194,PPL
2743931,Zevenhuizen,51.7,4.66667,PPL
2743932,Zevenhuizen,51.64833,4.41528,PPL
2743933,Zevenhuizen,51.34333,5.56111,PPL
2743934,Zevenhuis,51.7,5.65972,PPL
2743937,Zevenhoven,52.18167,4.77917,PPL
2743938,Zevenhoven,52.01667,5.05,PPL
2743940,Zevender,51.9575,4.87639,PPL
2743942,Zevenbuurt,52.87059,5.85414,PPL
2743944,Zevenbergschen Hoek,51.6725,4.67917,PPL
2743946,Zevenbergen,51.73,5.575,PPL
2743947,Zevenbergen,51.645,4.60417,PPL
2743949,Zevenaar,51.93,6.07083,PPL
2743951,Zeumeren,52.17256,5.60208,PPL
2743952,Zetten,51.92833,5.71389,PPL
2743953,Zethuis,53.155,6.23889,PPL
2743956,Zesgehuchten,51.41667,5.55,PPL
2743958,Zennewijnen,51.85833,5.4125,PPL
2743959,Zenderen,52.32417,6.72361,PPL
2743960,Zelt,51.52583,5.17778,PPL
2743963,Zelhem,52.00667,6.34861,PPL
2743965,Zelen,51.32583,5.96111,PPL
2743968,Zeldert,52.2,5.3625,PPL
2743970,Zelder,51.69917,6.01528,PPL
